objectid,name
1,"YESHIVA OF FAR ROCKAWAY DERECH AYSON RABBINICAL SEMINARY"
10,"WILMINGTON UNIVERSITY"
100,"HORIZON UNIVERSITY"
1000,"WESTFIELD STATE UNIVERSITY"
1001,"DORSEY SCHOOL OF BUSINESS"
1002,"DETROIT BUSINESS INSTITUTE-DOWNRIVER"
1003,"UNIVERSITY OF MICHIGAN-ANN ARBOR"
1004,"CLARY SAGE COLLEGE"
1005,"WALSH COLLEGE"
1006,"WAYNE STATE UNIVERSITY"
1007,"UNIVERSITY OF MISSISSIPPI"
1008,"HEALTHCARE CAREER COLLEGE"
1009,"TRIDENT UNIVERSITY INTERNATIONAL"
101,"TIGI HAIRDRESSING ACADEMY GUILFORD"
1010,"SHORTER COLLEGE"
1011,"HULT INTERNATIONAL BUSINESS SCHOOL"
1012,"UNIVERSITY OF CENTRAL MISSOURI"
1013,"ELAINE STEVEN BEAUTY COLLEGE"
1014,"MONTESSORI CASA INTERNATIONAL"
1015,"CARLSON COLLEGE OF MASSAGE THERAPY"
1016,"MIDWEST INSTITUTE"
1017,MYCOMPUTERCAREER.COM
1018,"Z HAIR ACADEMY"
1019,MYCOMPUTERCAREER.EDU-COLUMBUS
102,"NEW BEGINNINGS BEAUTY ACADEMY"
1020,"ELITE COLLEGE OF COSMETOLOGY"
1021,"SOUTHWEST UNIVERSITY AT EL PASO"
1022,"AVEDA INSTITUTE-PROVO"
1023,"WASHINGTON UNIVERSITY IN ST LOUIS"
1024,"VICTORIA'S ACADEMY OF COSMETOLOGY"
1025,"SOUTH GEORGIA STATE COLLEGE"
1026,"FLORIDA POLYTECHNIC UNIVERSITY"
1027,"ARIZONA COLLEGE-MESA"
1028,"ANTIOCH COLLEGE"
1029,"TEXAS A&M UNIVERSITY-CENTRAL TEXAS"
103,"ATLANTIS UNIVERSITY"
1030,"CENTRAL GEORGIA TECHNICAL COLLEGE"
1031,"JENNY LEA ACADEMY OF COSMETOLOGY"
1032,"ROSS COLLEGE-SYLVANIA"
1033,"VAUGHN COLLEGE OF AERONAUTICS AND TECHNOLOGY"
1034,"AMERICAN ACADEMY MCALLISTER INSTITUTE OF FUNERAL SERVICE"
1035,"AMERICAN BEAUTY SCHOOL"
1036,"CHAMBERLAIN UNIVERSITY-ADMINISTRATIVE OFFICE"
1037,"CHAMBERLAIN UNIVERSITY-ARIZONA"
1038,"ST. PETER'S HOSPITAL COLLEGE OF NURSING"
1039,COLLEGEAMERICA-FLAGSTAFF
104,"ACADEMY OF INTERACTIVE ENTERTAINMENT"
1040,"ARIZONA ACADEMY OF BEAUTY-EAST"
1041,"PLATT COLLEGE-ARIZONA AUTOMOTIVE INSTITUTE ARIZONA"
1042,"EMPIRE BEAUTY SCHOOL-FLAGSTAFF"
1043,"EMPIRE BEAUTY SCHOOL-CHANDLER"
1044,"NEW YORK UNIVERSITY"
1045,"OTTAWA UNIVERSITY-PHOENIX"
1046,"NEW YORK LAW SCHOOL"
1047,"BLACK RIVER TECHNICAL COLLEGE"
1048,"CENTRAL BAPTIST COLLEGE"
1049,"NATIONAL PARK COLLEGE"
105,"CALIFORNIA INSTITUTE OF ADVANCED MANAGEMENT"
